,precip
1916-11-12,0.0
1916-11-13,0.0
1916-11-14,0.0
1916-11-15,0.0
1916-11-16,0.0
1916-11-17,0.0
1916-11-18,0.0
1916-11-19,0.0
1916-11-20,0.0
1916-11-21,0.0
1916-11-22,0.0
1916-11-23,0.0
1916-11-24,0.0
1916-11-25,0.0
1916-11-26,4.375
1916-11-27,0.0
1916-11-28,0.0
1916-11-29,0.0
1916-11-30,0.0
1916-12-01,0.0
1916-12-02,0.0
1916-12-03,0.0
1916-12-04,0.0
1916-12-05,0.300000011921
1916-12-06,1.64999997616
1916-12-07,0.0
1916-12-08,0.0
1916-12-09,0.0
1916-12-10,0.0
1916-12-11,0.0
1916-12-12,0.0
1916-12-13,0.0
1916-12-14,0.0
1916-12-15,0.0
1916-12-16,0.0
1916-12-17,0.0
1916-12-18,0.0
1916-12-19,2.47499990463
1916-12-20,4.55000019073
1916-12-21,0.0
1916-12-22,0.15000000596
1916-12-23,1.64999997616
1916-12-24,1.64999997616
1916-12-25,17.2250003815
1916-12-26,0.0
1916-12-27,0.0
1916-12-28,0.0
1916-12-29,0.0
1916-12-30,0.0
1916-12-31,0.0
1917-01-01,0.0
1917-01-02,0.0
1917-01-03,7.52500009537
1917-01-04,0.0
1917-01-05,0.425000011921
1917-01-06,0.0
1917-01-07,0.0
1917-01-08,0.0
1917-01-09,0.0
1917-01-10,0.0
1917-01-11,0.0
1917-01-12,0.0
1917-01-13,0.0
1917-01-14,0.0
1917-01-15,0.0
1917-01-16,0.0
1917-01-17,0.0
1917-01-18,0.0
1917-01-19,0.0
1917-01-20,2.09999990463
1917-01-21,1.82500004768
1917-01-22,0.0
1917-01-23,0.0
1917-01-24,0.0
1917-01-25,0.0
1917-01-26,0.0
1917-01-27,0.0
1917-01-28,0.0
1917-01-29,0.0
1917-01-30,1.25
1917-01-31,0.0
1917-02-01,0.0
1917-02-02,0.0
1917-02-03,0.0
1917-02-04,0.0
1917-02-05,0.300000011921
1917-02-06,0.0
1917-02-07,0.0
1917-02-08,0.0
1917-02-09,0.0
1917-02-10,0.0
1917-02-11,0.0
1917-02-12,0.0
1917-02-13,2.17499995232
1917-02-14,0.0
1917-02-15,0.0
1917-02-16,0.0
1917-02-17,0.699999988079
1917-02-18,7.125
1917-02-19,2.65000009537
1917-02-20,1.20000004768
1917-02-21,0.27500000596
1917-02-22,4.55000019073
1917-02-23,0.899999976158
1917-02-24,0.0
1917-02-25,0.0
1917-02-26,0.0
1917-02-27,0.0
1917-02-28,0.0
1917-03-01,0.0
1917-03-02,0.0
1917-03-03,0.0
1917-03-04,0.0
1917-03-05,0.725000023842
1917-03-06,0.0
1917-03-07,0.0
1917-03-08,0.0
1917-03-09,5.44999980927
1917-03-10,0.0
1917-03-11,0.0750000029802
1917-03-12,0.0
1917-03-13,0.20000000298
1917-03-14,0.899999976158
1917-03-15,0.0
1917-03-16,0.0
1917-03-17,0.0
1917-03-18,0.0
1917-03-19,0.0
1917-03-20,0.0
1917-03-21,3.32500004768
1917-03-22,0.0
1917-03-23,0.0
1917-03-24,0.0
1917-03-25,0.0
1917-03-26,0.0
1917-03-27,0.0
1917-03-28,0.0
1917-03-29,0.0
1917-03-30,0.449999988079
1917-03-31,0.0
1917-04-01,0.0
1917-04-02,1.22500002384
1917-04-03,0.0
1917-04-04,0.0
1917-04-05,0.0
